score,category
0.986,verbatim
0.986,verbatim
0.984,verbatim
0.983,verbatim
0.979,verbatim
0.952,equivalent
0.952,equivalent
0.947,dual
0.940,equivalent
0.939,identical
0.936,dual
0.931,shared
0.929,identical
0.929,identical
0.928,generalization
0.928,generalization
0.920,generalization
0.915,shared
0.914,shared
0.914,shared
0.913,generalization
0.913,isomorphic
0.912,shared
0.912,shared
0.911,shared
0.910,shared
0.910,identical
0.908,shared
0.907,equivalent
0.907,generalization
0.906,shared
0.906,dual
0.905,generalization
0.904,dual
0.903,equal
0.896,generalization
0.896,shared
0.896,shared
0.895,shared
0.894,different
0.894,identical
0.892,different
0.889,shared
0.889,shared
0.889,shared
0.889,shared
0.888,shared
0.886,dual
0.886,different
0.885,identical
0.885,identical
0.883,different
0.883,shared
0.882,dual
0.881,equal
0.880,equivalent
0.878,dual
0.878,dual
0.878,dual
0.878,shared
0.876,shared
0.876,shared
0.875,shared
0.875,shared
0.875,shared
0.875,shared
0.875,shared
0.875,shared
0.874,dual
0.874,dual
0.874,dual
0.874,dual
0.874,dual
0.874,dual
0.874,generalization
0.873,isomorphic
0.873,equivalent
0.872,identical
0.872,isomorphic
0.871,generalization
0.871,isomorphic
0.871,dual
0.870,dual
0.870,dual
0.870,different
0.870,dual
0.869,identical
0.868,isomorphic
0.868,identical
0.868,identical
0.868,identical
0.868,identical
0.868,identical
0.867,dual
0.867,dual
0.867,dual
0.866,different
0.864,shared
0.864,dual
0.862,different
