name,rank
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",3
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",2
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",58
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",3
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",35
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",75
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",2
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",23
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",1
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",4
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",9
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",25
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",2
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",8
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",33
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",1
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",10
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",1
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",1
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",1
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",31
"mk_config l1 (ml, IDF, (k {typ=1,cls=28,thm=1,cnst=37}), p1, d1)",58
